,企業名,セールスポイント,採用ステータス,初年度年収
144,株式会社あきんどスシロー | 東証一部上場グループ／引越費用全額負担＆社員寮有・賞与年2回,【店舗スタッフ】店長の平均年収は約719万円！WEB面接実施中！ 正社員,正社員,"仕事内容 充実したサポートのもと店舗運営業務をお任せ！★平均年齢：全体…約30歳＆店長…約33歳！＼年間約30～40店舗の出店で豊富なポストチャンスを実現／
対象となる方 ＼20～30代の若手が多数活躍中／☆食文化を通じて社会貢献する！月8～9日休み＆連休取得もOK！
勤務地 【任意で選択した希望ブロック内での勤務】 ※ブロック外勤務は本人の同意がある場合のみ！ 全国（近畿…
給与 月給21万5,000円〜 【月収例（店長）】 月収39万7,000円（内訳は以下の通り） 役職手当：16万円 住宅手…"
145,株式会社ビッグモーター | 平均年収861万円 ◆ 月収200万円以上＆年収2000万円以上の実績,業界No.1のビッグモーターで【営業】デビュー！社会人経験者募集 正社員,正社員,"仕事内容 【ノルマ・飛込み・テレアポなし】ご来店・問い合わせのあったお客様へ中古車の販売・買取をお任せします。★入社時に知識は問いません！
対象となる方 【異業界未経験者も歓迎！】◆社会人経験（学歴不問）＼「営業職デビューしたい！」「クルマが好き！」「頑張りを評価されたい」そんな方歓迎！／
勤務地 【全国約300店舗！転勤なし！マイカー通勤OK！】 ★勤務地は希望を最大限考慮します！ ■北海道…
給与 月給22万8600円〜70万円（一律手当含む）＋インセンティブ＋賞与年2回＋諸手当 ※年齢・能力を考慮のう…
初年度年収 330万円～1500万円"
146,株式会社大成社 | ★話だけ聞きたいでもOK！お気軽にご応募下さい！★副業もOK,案件単価の75%を給与に還元【ITエンジニア（開発・インフラ）】 正社員,正社員,"仕事内容 ◆開発・インフラとも案件豊富。あなたの希望する分野・フェーズにアサインできます。
対象となる方 ★何らかのシステム開発経験もしくはITインフラの実務経験（運用・保守以上）がある方
勤務地 ★現在はリモート勤務が中心になっています。 プロジェクト先は東京23区を中心とする首都圏（東京、神…
給与 月給35万円〜90万円＋諸手当（残業手当100%支給、交通費全額） ※経験、スキル、案件単価等を考慮した上…
初年度年収 430万円～1100万円"
147,株式会社綜合キャリアオプション | グループ全体売上1000億円以上◆社員2000名超◆管理職も目指せる,30期連続黒字の安定企業での【法人営業】★期待の新規事業部署へ 正社員,正社員,"仕事内容 【新規事業を大規模立上げ！2021年1月ローンチ】様々な企業に、採用支援サービス『Concier&TECH(コンシェル＆テック)』をご案内★営業経験を活かせる
対象となる方 【新サービスを共に作りたい方歓迎！自分の営業スタイルを活かせます】◆営業経験をお持ちの方は大歓迎！◆事業部長は33歳。20～30代前半男女活躍中！
勤務地 ◆新宿駅より地下道直結／徒歩4分 ◆西新宿コンシェル・センター 東京都新宿区西新宿1-8-1 新宿…
給与 年俸500万円〜650万円スタート ※経験・スキル・前職の給与等を考慮の上、決定します。 ※試用期間3ヵ月…
初年度年収 500万円～650万円"
148,株式会社あいらいふ | ★20～30代の社員が多数活躍中！業界未経験でも月給30万円以上★,業界未経験からスキルアップを目指せる【入居コーディネーター】 正社員,正社員,"仕事内容 《万全の体制で長期キャリア形成をサポート！》 ◆施設を探すご利用者様と「新たな入居者を募集したい」と考える施設の両者を結びつけるお仕事です。
対象となる方 《営業経験者必見！20代～30代の社員が多数活躍中》◆業界未経験からポジションアップを目指せます！第二新卒歓迎・学歴不問！完休2日制・土日祝休み
勤務地 【本社】東京都品川区東五反田1-21-10 東五反田I-Nビル8F 【秋葉原相談室】東京都千代田区…
給与 月給30万円〜 ＋ インセンティブ ※経験・能力・スキル等を考慮の上、当社規定により決定します。 ※上記…
初年度年収 350万円～600万円"
149,株式会社花山工務店 | 【大阪ガスのパートナー企業！】大阪府緊急雇用対策に賛同,書類選考ナシ・応募者全員と面接！【技術スタッフ】月給30万円～ 正社員,正社員,"仕事内容 【安定を求める方に“選ばれる”職場です】ガス設備のメンテナンス・工事をお任せ。 チーム制で活動するので安心＆必要な資格は会社全額負担で取得◎
対象となる方 【少しでも気になった方、まずはご応募ください】＼学歴・職歴・転職回数不問／ ◆安定感抜群のインフラ系企業で、技術も収入も手にしたい方、歓迎！
勤務地 【マイカー・バイク通勤OK】 大阪府大阪市東住吉区中野1-13-29 ◎転勤なし／U・Iターン歓迎…
給与 【経験者】月給45万円〜＋賞与 【未経験】月給30万円〜＋賞与 ※上記は最低保証金額です ※経験・年齢・…"
150,ヴェル・ハウジング株式会社 | 安心の固定給制度あり⇒未経験でも月給28万～35万円スタート！,未経験OK！年収1000万超も目指せる【住宅営業】★100％反響営業 正社員,正社員,"仕事内容 【お客様の理想をカタチに★100％反響営業】ご来店やお問い合わせいただいたお客様の対応をお任せします◎社内の専門スタッフと連携します
対象となる方 【未経験からしっかり稼げる♪年収1000万超も可能】◆未経験・第二新卒歓迎 ◆学歴・職歴・男女不問の”人柄重視”採用 ◆要普免(AT限定可)
勤務地 希望を考慮して【姫路市・加古川市・明石市】のいずれかの店舗に配属します。 ※マイカー通勤OK♪ 【…
給与 経験者：月給30万円以上＋インセンティブ 未経験者：月給28万円〜35万円＋インセンティブ ※年齢、経験…
初年度年収 300万円～700万円"
151,エーアイアールグループ合同募集 | ★中途採用者活躍中★平均年齢29歳★残業少なめ★週休2日制,【ルームアドバイザー】★月給40万円可 ★5月入社OK ★研修充実 正社員,正社員,"仕事内容 【100％反響営業★営業デビュー歓迎】お客様のご希望のお部屋探しをお手伝い♪ ★安心のチーム制 ★研修制度も充実 ★クリアな評価制度 ★ノルマなし
対象となる方 【応募条件を満たす方は全員面接確約！】◆未経験歓迎 ◆40歳までの方 ◎学歴不問 ◎先輩の95%は未経験入社 ※複数名採用！同期と一緒に働けます！
勤務地 【★積極採用中⇒池袋店/銀座店/新宿店/川崎店】 ☆転居を伴う転勤なし ☆全店舗最寄駅より5分圏内…
給与 【各社共通】 月給24万5,000円~月給40万円 ＋ インセンティブ ＋ 賞与 ＋ 諸手当 ※経験やスキルに応じ…
初年度年収 450万円～1000万円"
152,株式会社セントラルアセット | 一人一人のお客様を大切にサポートするのが当社の魅力です,【賃貸管理アドバイザー】土日祝休み／高額歩合／性別・学歴不問 正社員,正社員,"仕事内容 ＼＼　ノルマ無し　／／　学歴・性別不問／ワークライフバランスを重視しながら一生涯のスキルを身に付けることができる！
対象となる方 ◆　仲介営業経験者・宅建保持者歓迎　◆　学歴・性別不問／20～30代活躍中／成果を正当に評価する環境です
勤務地 【本社】 東京都中央区新川1-17-27　横川ビル4階
給与 月給25万円(宅建保持者+3万円)+賞与+インセンティブ ★選べる給与制度★ 月給27万円(宅建保持者+3万円)+…
初年度年収 400万円～650万円"
153,東京エムケイ株式会社 | 【平均年収817万円】有給取得率80％超◆男性の育休/時短勤務実績,年収1000万円も可能！【高級車ハイヤーのドライバー】※高卒以上 正社員,正社員,"仕事内容 【事前予約中心 × 長距離送迎 ＝ 高収入】◆お客様はご予約の方やリピーターがメインです ◆ベンツなど、誰もが憧れる高級車に乗務！
対象となる方 【未経験歓迎！年齢不問】＼未経験でも研修3ヶ月計100万円の保証給／◆普通免許取得後3年以上(AT限定可) ★コロナ対策も万全！ドライバーの健康も配慮
勤務地 ★首都圏（東京都・神奈川県・千葉県）が担当エリア ★転勤なし 【汐留営業所】 東京都港区東新橋1-…
給与 ▼3ヶ月の保証給<合計100万円！>＋各種お祝い金有 1ヶ月目:月給30万円 2・3ヶ月目:月給35万円 4ヵ月目以…
初年度年収 450万円～550万円"
154,株式会社ヤマダホールディングス | ヤマダライフ保険：社員の半数がMDRT基準をクリアしています,100％反響スタイル！【ファイナンシャルプランナー】全国募集 契約社員,契約社員,"仕事内容 《見込み客づくり=会社、家計相談=あなたの好環境＆店舗内での面談は8割以上》ヤマダデンキのお客様への家計相談・ライフプランニングを担当します。
対象となる方 《高率インセンティブ（80％～40％）を用意！正社員登用制度もあり！》◆高卒以上 ◆金融業界での営業経験者（FP資格不問／保険業界経験者優遇）
勤務地 ★希望勤務地考慮 東京/神奈川/千葉/埼玉/大阪/京都/兵庫の各店舗 【首都圏】 東京都千代田区/…
給与 月給18万円〜＋インセンティブ(毎月支給) ★昨年度は月収200万円を達成する社員が毎月必ずいました。 【…
初年度年収 500万円～2000万円"
155,株式会社ヤマダホールディングス | ヤマダライフ保険：取扱保険会社21社／正社員登用制度あり,FPの仕事は”商談”から【家計相談コンサルタント】関東募集 契約社員,契約社員,"仕事内容 【面談は新規だけで毎月10件以上！案件は会社が無償提供で見込客の作成も必要なし】ヤマダデンキのお客様への家計相談を通じた金融サービスの提案です
対象となる方 【インセンの還元率も高く、社員の半数がMDRT基準クリアを実現！】保険・金融・証券業界での営業経験者は即戦力として優遇します（FP資格不問）
勤務地 ★希望勤務地考慮 ★関東エリア（東京/神奈川/千葉/埼玉）の各店舗での勤務となります。 【東京】…
給与 月給18万円〜＋インセンティブ(毎月支給) ★昨年度は月収200万円を達成する社員が毎月必ずいました。 【…
初年度年収 500万円～2000万円"
156,株式会社ホームワン | 『年収アップ』や『働き方改善』が転職理由なら当社で決まり！,★アポ不要の100%反響営業【不動産仲介スタッフ】*週休2日制 正社員,正社員,"仕事内容 《 問合せ対応中心 》土地の査定～調査・契約までを担当 ★業界TOPクラスの歩合率20％(テレアポなし／完全定時退社)だから満足できる働き方ができる！
対象となる方 《 未経験歓迎 》◎高卒以上 ◎45歳まで※ ◎自動車免許（AT限定可）★『しっかり休んでしっかり稼ぎたい』方はぜひ！年収800万円の先輩も活躍中◎
勤務地 ◆岐阜県岐阜市宇佐南1-18-10 ※国道21号線沿 ※車通勤OK ※転勤なし（岐阜エリア担当）
給与 ◆月給20万円以上 + 歩合給 ★年収例600万円 ／ 経験2年 ※試用期間4か月あり（同条件） ※契約手数料の2…
初年度年収 400万円～500万円"
157,JCSロジスコ株式会社 | ◆電話・Web面接も可能／翌日振込・前払いもOK／勤務地自由！◆,【宅配ドライバー】平均日当3万円/すぐ就業可 ※正社員登用あり 業務委託,業務委託,"仕事内容 ◆大手ネット通販の品物を、個人宅・企業へ配送します。★ご自身の理想のペースで稼げます！（※加盟金・違約金は不要です／力仕事ではありません）
対象となる方 【経験不問・学歴不問・フリーランスデビュー大歓迎！ ◆第二新卒・失業中の方・フリーターの方も大歓迎です】◎普通自動車免許をお持ちの方（AT可）
勤務地 原則自由 ■東京都:新宿・中野・世田谷・文京などの23区全域・立川・昭島など ■神奈川県:茅ヶ崎・…
給与 完全出来高制（1個あたり150〜250円 ※エリアによる／平均日当3万円） もしくは 固定制（日当1万5千〜2万…
初年度年収 300万円～1000万円"
158,居藏管工株式会社 | いぐらかんこう｜#入社祝い金支給#経験者は月収40万円が目指せる,働き方が選べる！【メンテナンス】※未経験歓迎&経験者は優遇 正社員,正社員,"仕事内容 【高収入が目指せる、大阪ガスの公共工事をお任せします】◆ガスの配管工事・メンテナンスなど◎安定的に腰を据えて働ける環境です！
対象となる方 《新人さんは大歓迎！同業の経験者の方は前職給与を考慮します！》◆学歴。スキルは一切不問です◎人柄・意欲重視の採用を行っています
勤務地 【マイカー通勤可／ガソリン代支給】 ◆本社／大阪府枚方市春日野2-1-18 《交通アクセス》 ◎J…
給与 （1）月給33万円以上 （2）月給29万7,000円以上 （3）月給27万5,000円以上 （4）月給29万円以上 （5）月…
初年度年収 340万円～440万円"
159,株式会社トライトキャリア | 有給取得率50％越/年収600万円以上可/大阪府緊急雇用対策に賛同,医療・福祉業界の【キャリアアドバイザー】土日祝休＆年休120日 正社員,正社員,"仕事内容 ★頑張り次第で年収900万円も目指せる★ 「求職者（働く人）」と「クライアント（病院や福祉施設）」双方のニーズをマッチングさせるお仕事です。
対象となる方 【未経験／第二新卒／既卒者／男女ともに歓迎！】◎アパレル・飲食業など異業種からの転職者も活躍中 ◎営業・接客・販売・マネジメント経験者は歓迎
勤務地 ＜北海道/東北/甲信越/関東/東海/近畿/中国/四国/九州＞ 各拠点での募集です！ ※転勤なし (…
給与 ◆月給23万円〜40万円+賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定により優遇いたします …"
160,株式会社ドリームホーム | 京都屈指の業績・2019年度グループ売上高170億円！,完全反響対応の【不動産営業職】★ノルマ一切なし 正社員,正社員,"仕事内容 【ノルマなし◎無理な営業禁止】来店・お問い合わせのお客様に新築・中古戸建やマンションをご紹介。※自社開発分譲地多数。街づくりにも携われる！
対象となる方 《勤務地は京都府のみ！》◆ 未経験者・第二新卒者大歓迎！学歴一切不問 ◆ 要普免(AT限定可) ※未経験者多数活躍中！中途入社のハンデはありません！
勤務地 京都府内の店舗(13店舗)★バイク/自転車/マイカー通勤可/希望・居住地考慮 ■桂店/西京区上桂前…
給与 月給／22万5,000円以上 ※試用期間2ヵ月。(その間の給与変動なし) ※経験・年齢を考慮の上、当社規定によ…
初年度年収 300万円～500万円"
161,株式会社建築資料研究社 | 資格系スクール「日建学院」を運営【大阪府緊急雇用対策に賛同】,★全国募集★【ライセンスアドバイザー】※学歴不問 正社員,正社員,"仕事内容 日建学院の受講生募集～卒業までのサポート業務。受講生と二人三脚で合格を目指す、やりがい溢れる仕事です ★提案先は受講生や卒業生の勤務先が中心
対象となる方 【未経験・第二新卒・UIターン歓迎】◆32歳以下の方◆学歴不問◇人と接するのが好きで、コツコツ地道なコミュニケーションがとれる方 ◎インセンあり
勤務地 ＜転勤なし＞全国にある日建学院直営校(112校)のいずれか ※希望を考慮し決定します。 【北日本地…
給与 月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…
初年度年収 350万円～550万円"
162,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【法人営業】未経験OK★高卒以上★40歳以下 正社員,正社員,"仕事内容 【“営業＆業界デビュー”を応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪
対象となる方 【未経験歓迎！第二新卒歓迎】★高卒以上★40歳以下★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪
勤務地 北海道、宮城県、東京都、埼玉県、神奈川県、愛知県、大阪府、香川県、徳島県、高知県、愛媛県、鹿児島県…
給与 【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…"
163,株式会社ゼディアルーク | グループ会社を複数擁し、IT事業を展開する成長企業,経験を活かして、セカンドステップを見出せる【ITエンジニア】 正社員,正社員,"仕事内容 【希望に沿った案件を用意します！】アプリ開発からインフラ構築まで幅広いプロジェクトをアテンド。エンジニアとして、力を発揮してください。
対象となる方 【様々なキャリアの可能性を！】◆ITエンジニアの実務経験者――将来「PL／PMになりたい」「受託開発がしたい」「社長になりたい」すべてOK！
勤務地 渋谷本社／目黒支社／首都圏のプロジェクト先 ※勤務地はご希望を考慮します。 ※転勤はありません。…
給与 月給18万円〜80万円 ＋ インセンティブ（プロジェクト単位での業績に応じる） ※あなたの経験・年齢を考…"
164,メットライフ生命保険株式会社 | ★完全週休2日制★賞与年4回(個人業績による),未経験多数活躍中！WEB面談可！【コンサルティング営業】 正社員,正社員,"仕事内容 【充実の研修からスタート】保険の提案を通して、個人・法人のお客さまの幅広いニーズにお応えします。
対象となる方 【未経験歓迎！異業種の営業経験者も歓迎】◆高卒以上　◆営業経験不問　異業種からの転職者が多く活躍中！
勤務地 【下記都道府県にて募集】 北海道、岩手県、宮城県、栃木県、群馬県、茨城県、千葉県、東京都、神奈川県…
給与 【初任給月給】25万円または30万円 ※平均給与月額実績71.6万円（2018年度税込定例給与実績、賞与は除外…"
165,株式会社REGALE | 《首都圏・関西圏で成約取引件数トップクラスの実績！》,【不動産営業】未経験から固定月給40万円と最大歩合40％の営業へ 正社員,正社員,"仕事内容 【高固定給＋高歩合率×顧客システム(自社開発)×優秀な先輩のノウハウ】不動産を売りたいオーナー様と買いたいお客様をつなぐプロへ成長
対象となる方 【経験・学歴不問】【人柄や意欲重視の選考】45歳までの方（若年層の長期キャリア形成を図るため）★フリーターや営業、販売など前職問わず活躍中★
勤務地 東京・大阪募集です！オフィスは好アクセス・好立地！！ 【東京オフィス】 東京都中央区日本橋小網町1…
給与 月給40万円＋役職給＋インセンティブ最大40％ ※年齢・経験・能力を考慮の上、当社規定により支給。 【…
初年度年収 700万円～3000万円"
166,小金井不動産株式会社 | LIXIL不動産ショップNo.1！全加盟店480社中優秀成績者41名輩出,成果に繋がる理由だらけ★【売買営業(反響型)】※栃木限定募集 正社員,正社員,"仕事内容 【LIXIL不動産ショップ/不動産売買の仲介業務】★ご来店されたお客様への物件のご紹介がメイン★会社の信頼度・実績、ともに県内トップクラスの水準
対象となる方 【即戦力採用/学歴・年齢不問】■不動産売買の経験 もしくは ■ハウスメーカーでの営業経験 もしくは ■なんらかの営業で業績を上げた経験
勤務地 《UIターン歓迎&マイカー通勤OK》 ★宇都宮エリアでの拡大募集となります 【拡大募集中！】 ★宇…
給与 【月給】25万円〜35万円＋インセンティブ＋諸手当 ※平均インセンティブ額13.7万円 ※試用期間3ヶ月 上記…
初年度年収 400万円～1000万円"
167,株式会社センス | ★未経験からでも年収1000万円超の先輩が活躍中★100％面接保証,【営業系総合職】週休3日／月末5連休などユニークな働き方も◎ 正社員,正社員,"仕事内容 《3年連続全国No.1の実績》すでにネット回線を引いている方に向けた提案なので仕事しやすさバツグン◎20～30代前半の若手男女が活躍中◎残業月10h以下
対象となる方 《週休3日／月末5連休以上という働き方も可能》趣味も家族も自分のこれからも、すべて大切にしたいと思っている方を歓迎します◎
勤務地 当社各拠点の募集【東京本社（池袋）埼玉支社（大宮）群馬支店（高崎）福岡支店（赤坂）】 ＊本社・支店…
給与 月給:24万円〜70万円＋インセンティブ＋各種手当 ※経験・スキルを考慮して決定いたします。 ※試用期間…
初年度年収 350万円～800万円"
168,イッセイコンサルタント株式会社 | 【 10年連続売上UP 】平均年収600～700万｜転勤なし｜定時退社可,☆未経験歓迎☆【業務管理スタッフ】内勤メイン／年休122日★ 正社員,正社員,"仕事内容 【 工事業務ナシ・内勤メイン・直行直帰OK 】国交省の出張所で工事管理のサポート業務を行います。＜土日祝休┃定時帰りの日多数＞
対象となる方 【 未経験・経験者ともに歓迎 】☆土木施工管理の経験者は優遇（40～50代も活躍中）◆資格・文理不問　◆高卒以上 ◆要普免
勤務地 【 岐阜県・愛知県・三重県の出張所への直行直帰 】 ※転勤なし ※社用車貸与 ＼＼ 地域密着で活躍…
給与 月給25万〜60万円 【月給例】 月給25万円／入社1年（27歳） 月給35万円／経験5年（30歳） 月給50万円／…
初年度年収 350万円～850万円"
169,株式会社ジーアフター | ◆不況知らず！売上前年比130％以上、注目の企業◆残業ほぼなし,大型店オープン！完全反響【営業】未経験OK◆平均月収48.8万円 正社員,正社員,"仕事内容 《完全反響型》◆中古車の販売・営業・買取業務をお任せします◆未経験者90%＊充実研修と店舗全員で新人をフォロー⇒誰もが成長できる仕組み★
対象となる方 【入社後半年～1年で店長へスピード昇進も可能です】◆40歳迄の方※ ◆高卒以上◆要普免(AT限定可)◆経験を問わず若手の人材・店長候補を10名以上募集
勤務地 千葉県・埼玉県などの店舗及び事業所 初期配属は希望を考慮します！ 全国展開へ向けて積極採用中！ 【…
給与 月給30万円〜(経験・年齢考慮)＋インセンティブ ※上記の月給には時間外労働の有無にかかわらず、45時…
初年度年収 400万円～650万円"
170,株式会社エストゥルース | 【効率的な営業スタイル】飛び込み営業・ノルマは一切ありません,【営業】★土日祝休み・残業基本ゼロでも、年収1200万円が可能！ 正社員,正社員,"仕事内容 【20代活躍中】◆お客様に投資用不動産(ワンルームマンション)を提案 ★1ヶ月の研修期間をはじめ、チームであなたを育てます！
対象となる方 【不動産の知識一切不要】◆アパレル販売やルート営業など、異業種から入社した先輩多数★未経験入社3ヶ月で月収100万円を記録した20代前半の社員も！
勤務地 ★転勤なし ★東京（渋谷駅徒歩10分圏内）と仙台（立ち上げメンバー：2020年10月26日開設）で…
給与 【大卒以上】月給25万円以上＋諸手当＋インセンティブ（40万円〜100万円） 【上記以外】月給23万円以上＋…
初年度年収 400万円～2000万円"
171,ソフトバンク営業職合同募集 | 【条件満たす方全員、電話面談確約】★大阪府緊急雇用対策に賛同,ソフトバンクの【法人営業】未経験OK★高卒以上 正社員,正社員,"仕事内容 【“営業＆業界デビュー”を応援】法人顧客に、スマートフォンをはじめとした『ソフトバンク商材』をご提案★研修が充実！知識ゼロでも安心スタート♪
対象となる方 【未経験歓迎！第二新卒歓迎】◆高卒以上◆35歳以下の方（※）★20~30代が中心に活躍中！明るく元気な笑顔で対応できる方を歓迎♪
勤務地 北海道、宮城県、東京都、埼玉県、神奈川県、愛知県、大阪府、香川県、徳島県、高知県、愛媛県、鹿児島県…
給与 【東京】 月給25万円~40万円＋インセンティブ 【北海道】 月給21万円~25万円＋インセンティブ 【東北】…"
172,クラウンコンサルティング株式会社 | ビジネスマッチングサイト『ビジェント』を運営する急成長企業！,【メディアプランナー(広告営業)】テレワーク推奨／フレックス 正社員,正社員,"仕事内容 法人顧客に対し、自社メディア『ビジェント』への掲載を提案。お客様のビジネスの成功をサポートしていただきます。　★フレックスタイム制
対象となる方 【大卒以上・経験不問】人柄・意欲重視の採用です！★広告・人材業界での営業経験者、マーケティング知識のある方は歓迎します！
勤務地 本社／東京都江東区青海2-7-4 the SOHO 7F ※転居を伴う転勤はありません。 ※研修期…
給与 月給25万円以上＋賞与年2回 ※経験、能力を考慮の上、決定いたします。 ※上記には、固定残業代（月15時…
初年度年収 300万円～550万円"
173,積水ハウス不動産関西株式会社 | 【東証一部上場／積水ハウスグループ】大阪府緊急雇用対策に賛同,高収入を実現できる！【不動産売買仲介】賞与年3回支給！ 正社員,正社員,"仕事内容 【ブランド力があるから仕事が進む！】◆積水ハウスの物件を中心に不動産の売買仲介業務をお任せします ◆年間休日129日（火水 or 土日休み）
対象となる方 【1】ハウスメーカーの経験（3年以上）もしくは売買仲介営業の経験（5年以上）をお持ちの方 【2】宅建保有者 【3】普通自動車免許（AT限定可）
勤務地 【""大阪・京都・兵庫""の募集！関西に根差して働ける】 ★U・Iターンも歓迎 【大阪エリア】 大阪市…
給与 ◆月給30万円〜＋賞与年3回 ＜モデル年収＞ 32〜33歳 980万円 41〜42歳 1,190万円 ※上記は各年齢の営業…
初年度年収 400万円～700万円"
174,株式会社阿部技建 | ＜独自工法が強み！＞★転勤なし ★年齢不問 ★土日祝休み,成果が給与に直結【提案営業】★40～50代活躍中！学歴・経歴不問 正社員,正社員,"仕事内容 《 長年培ったあなたのスタイルで働ける！ 》安全対策を検討されている各企業や工場に自社ブランド『 サンドゲル工法 』の営業活動をお任せします。
対象となる方 《 業界未経験者歓迎！異業界での経験が活かせる仕事です！ 》★40～50代が活躍中 ◆学歴不問 ◆営業経験者 ◆転職者中心の職場 ※平均年収700万円
勤務地 ◎転勤なし ◎車通勤OKです（社用車も貸与可能） ＜本社＞ 愛知県清須市清州3‐3‐12 ※JR東…
給与 月給20万円以上＋報奨金 ★月収例…月収30万円〜100万円 ※経験やスキル・年齢等を考慮のうえ決定します…
初年度年収 400万円～500万円"
175,高松建設株式会社 | 【東証一部上場・高松コンストラクショングループ】の中核会社,土地活用の【企画営業】◆賞与年3回◆業界・職種未経験歓迎！ 正社員,正社員,"仕事内容 【人間力で勝負する大きなやりがい！】 ◆個人・法人のお客様に土地や不動産の有効活用をご提案し、事業を成功に導くコンサルティング営業をお任せ。
対象となる方 【業界・職種未経験歓迎】 ◆お客様への提案経験/接客経験のある方※お客様に真摯に寄り添う心構えと行動力が伴った方をお迎えします。
勤務地 東京本店、横浜・埼玉・千葉の各支店もしくは船橋営業所 ※希望を考慮し決定します。 ※転勤はありませ…
給与 月給：26万円〜50万円（一律業務手当等含む） ※経験・年齢・能力を考慮のうえ、決定致します。 ★入社…
初年度年収 420万円～750万円"
176,株式会社エコ・エー | 【環境職人】★寮完備（月3万円）★残業月10ｈ・直行直帰OK,【施工スタッフ】★未経験歓迎★月30万円スタート可★若手活躍中 正社員,正社員,"仕事内容 【未経験歓迎／実働7ｈ／資格取得支援制度あり／作業着・保護具の提供あり】安全に住める街づくりに貢献！新築現場や改築現場など現場作業を担当！
対象となる方 【経験・資格・学歴一切不問☆正社員デビューも歓迎】人柄・意欲重視の採用 ☆未経験の先輩が多数活躍中！ ★一人でも多くの方とお会いする方針です！
勤務地 【現場へは直行直帰です◆転勤なし◆UIターン歓迎(寮完備)◆現場は関東中心】 現場は1都3県（東京…
給与 日給1万3000円〜1万7000円 【収入例】月収29万9000円（未経験１ヶ月目） 未経験でも日給1万3000円×23日…
初年度年収 300万円～700万円"
177,株式会社手なおし屋 | ◆年間休日120日以上◆平均月収40万円～50万円◆基本定時退社,【総合職】全国に新拠点が続々と開設★未経験でも月給30万円以上 正社員,正社員,"仕事内容 ※希望や適性を考慮していずれかの業務をお任せします⇒【営業】住宅設備の点検・メンテナンスのご案内／【電気工事】住宅設備の設置工事・修理
対象となる方 ≪第二新卒特別特集参画中≫【未経験OK／学歴・年齢不問】★『運転免許』※必要なのはこれだけ♪【第一種・第二種電気工事士をお持ちの方は歓迎】
勤務地 ◎伊勢崎支店／群馬県伊勢崎市宮子町3410-3 D号 ◎町田支店／東京都町田市中町1-8-2（20…
給与 【月給】30万円〜35万円(一律手当含む) + インセンティブ ※経験・年齢・能力などを考慮して、当社規定…
初年度年収 400万円～500万円"
178,エムケイ株式会社 | 【大阪府緊急雇用対策に賛同】★家電・3食付きの社員寮完備,【観光コンシェルジュ(ドライバー)】※直近の平均月収27～45万円 正社員,正社員,"仕事内容 高級ハイヤー・タクシーでの観光案内や送迎 ★予約業務がメインのため、収入が安定 ★給与保証制度があり、焦らずに成長できます。
対象となる方 【99％が未経験入社／5割近くが京都府外からの入社】■学歴・年齢不問 ■要普免（AT限定可／二種不要） ☆社会人は初めての方や、ブランクある方もOK
勤務地 【京都府内の営業所に配属】 ※研修終了後は希望の営業所を選択いただけます。 伏見営業所 京都府京都…
給与 昼勤…月給25万円以上 夜勤…月給30万円以上 交替勤務…月給28万円以上 ※研修期間（4週間）／日給8000…
初年度年収 400万円～700万円"
179,株式会社グランデ | 東証マザーズ上場ランディックスグループ/城南エリア×富裕層,【不動産仕入れ営業】未経験OK！一生モノのスキルが身につく 正社員,正社員,"仕事内容 【不動産業界の''花形''用地仕入れ業務】高級住宅街が広がる城南エリアに特化★企画・住宅の販売促進にも携われ「不動産企画」の面白さを味わえる仕事
対象となる方 【学歴・経験・資格・知識は一切不問★職種・業界未経験者、第二新卒、大歓迎！】中途入社の20～30代のメンバーが活躍中！9連休が年に2回あり★
勤務地 【恵比寿センター】転居を伴う転勤なし 東京都渋谷区恵比寿1-15-1　恵比寿パルクビル3F 202…
給与 月給28万円以上＋高率歩合 年次昇給あり。毎年2〜4万円UP(上限あり) ※宅建ありの場合は＋2万円/月 ※固…
初年度年収 400万円～1000万円"
180,株式会社グランド1コーポレーション | 完全週休2日制/残業ほぼナシ/未経験月給25万円～/昇給&昇格年2回,入社1年目で年収700万円超の社員も！投資用不動産の【営業】 正社員,正社員,"仕事内容 【入社後すぐに成果が出る…→初契約まで平均半月～3ヶ月程】投資用・中古マンションの営業をお任せします。★入社3年目で年収1,500万円超の先輩も★
対象となる方 【経験・学歴・性別も一切不問！未経験スタートの先輩多数】■35歳以下(※)　◎中途入社率100％！ ◎資格取得で「年20万円」の資格手当支給も！
勤務地 ※転勤なし！ ※心斎橋駅から徒歩3分の好立地です！ ◆本社 大阪市中央区南船場四丁目11-17 船…
給与 ◆月給25万円〜80万円 ＋ インセンティブ ＋ 各種手当 【モデル年収例】 1620万円／月給50万円＋インセ…
初年度年収 500万円～800万円"
